сонце sun Sonne 太陽
стіл table Tisch テーブル
небо sky Himmel 空
автомобіль car Auto 車
зошит copybook Heft お手本
книга book Buch 本
олівець pencil Bleistift 鉛筆
паспорт passport Reisepass パスポート
вікно window Fenster 窓
школа school Schule 学校
вчитель teacher Lehrer 先生
стіна wall Wand 壁
яблуко apple Apfel りんご
сік juice Saft ジュース
сіль salt Salz 塩
цукор sugar Zucker 砂糖
трактор tractor Traktor トラクター
цукерка candy Süssigkeit あめ
морозиво ice Eis 氷
банан banana Banane バナナ
велосипед bicycle Fahrrad 自転車
птах bird Vogel 鳥
будинок house Haus 家
літак plane Ebene 飛行機
вертоліт helicopter Hubschrauber ヘリコプター
шоколад chocolate Schokolade チョコレート
риба fish Fisch 魚
море sea Meer 海
річка river Fluss 川
дерево tree Baum 木
